Assignment,Organization Name
2301,Witron Technology Limited
0022F7,Conceptronic
0022EA,Rustelcom Inc.
0022F0,3 Greens Aviation Limited
22000000000,ProVision Communications
00211C,"Cisco Systems, Inc"
2117,Tellord
2110,Clearbox Systems
2106,RIM Testing Services
001FFF,"Respironics, Inc."
001FFE,HPN Supply Chain
001FF8,"Siemens AG, Sector Industry, Drive Technologies, Motion Control Systems"
001FFD,Indigo Mobile Technologies Corp.
2221,"ITOH DENKI CO,LTD."
00221B,Morega Systems
2220,Mitac Technology Corp
2227,uv-electronic GmbH
2214,RINNAI KOREA
00220E,"Indigo Security Co., Ltd."
2208,Certicom Corp
2201,Aksys Networks Inc
0021F7,HPN Supply Chain
0021A0,"Cisco Systems, Inc"
00219C,Honeywld Technology Corp.
2192,"Baoding Galaxy Electronic Technology  Co.,Ltd"
00218C,TopControl GMBH
00217F,Intraco Technology Pte Ltd
00217A,"Sejin Electron, Inc."
2179,"IOGEAR, Inc."
2173,"Ion Torrent Systems, Inc."
001FC3,"SmartSynch, Inc"
001FC8,"Up-Today Industrial Co., Ltd."
001FC1,"Hanlong Technology Co.,LTD"
001FC2,Jow Tong Technology Co Ltd
001FBC,EVGA Corporation
001FB0,"TimeIPS, Inc."
001FB5,I/O Interconnect Inc.
001FA9,"Atlanta DTH, Inc."
0021F1,Tutus Data AB
0021F2,EASY3CALL Technology Limited
0021EB,"ESP SYSTEMS, LLC"
2100000,Display Solution AG
210000,I-WIN
0021DF,Martin Christ GmbH
0021D8,"Cisco Systems, Inc"
0021CC,Flextronics International
001FF1,Paradox Hellas S.A.
001FEC,Synapse Électronique
001FE5,In-Circuit GmbH
001FD9,RSD Communications Ltd
001FD4,"4IPNET, INC."
001FCF,MSI Technology GmbH
00213F,A-Team Technology Ltd.
2139,Escherlogic Inc.
2134,Brandywine Communications
00212F,Phoebe Micro Inc.
2129,"Cisco-Linksys, LLC"
00212A,Audiovox Corporation
2123,Aerosat Avionics
00216D,"Soltech Co., Ltd."
00216C,ODVA
2167,HWA JIN T&I Corp.
2160,Hidea Solutions Co. Ltd.
2154,D-TACQ Solutions Ltd
00214D,Guangzhou Skytone Transmission Technology Com. Ltd.
2148,Kaco Solar Korea
0021C5,3DSP Corp
0021BF,Hitachi High-Tech Control Systems Corporation
0021C0,"Mobile Appliance, Inc."
0021B9,Universal Devices Inc.
0021B3,Ross Controls
0021B2,Fiberblaze A/S
0021AD,Nordic ID Oy
0021A6,Videotec Spa
001F11,"OPENMOKO, INC."
001F0B,"Federal State Unitary Enterprise Industrial Union""Electropribor"""
001EFF,Mueller-Elektronik GmbH & Co. KG
001F06,Integrated Dispatch Solutions
001F05,iTAS Technology Corp.
001EF3,From2
001EF8,Emfinity Inc.
001F7A,WiWide Inc.
001F70,Botik Technologies LTD
001F75,GiBahn Media
001F64,Beijing Autelan Technology Inc.
001F5E,"Dyna Technology Co.,Ltd."
001F58,EMH Energiemesstechnik GmbH
001F4C,Roseman Engineering Ltd
001F51,HD Communications Corp
001F4B,Lineage Power
001F9F,Thomson Telecom Belgium
001F93,Xiotech Corporation
001F98,DAIICHI-DENTSU LTD.
001F8C,CCS Inc.
001F8A,Ellion Digital Inc.
001F83,Teleplan Technology Services Sdn Bhd
1E+030,Shireen Inc
001E2B,"Radio Systems Design, Inc."
1E+024,"Zhejiang Bell Technology Co.,ltd"
1E+018,Radio Activity srl
001E1D,"East Coast Datacom, Inc."
001E1E,Honeywell Life Safety
10000000000000,"Cisco Systems, Inc"
001E0E,MAXI VIEW HOLDINGS LIMITED
1E+060,"Digital Lighting Systems, Inc"
1E+059,"Silicon Turnkey Express, LLC"
1E+054,TOYO ELECTRIC Corporation
001E4D,"Welkin Sciences, LLC"
1E+048,Wi-Links
1E+043,"AISIN AW CO.,LTD."
001E3E,KMW Inc.
001EC3,"Kozio, Inc."
001EBC,"WINTECH AUTOMATION CO.,LTD."
001EB7,"TBTech, Co., Ltd."
001EB0,ImesD Electronica S.L.
001EA5,"ROBOTOUS, Inc."
001EAB,TeleWell Oy
001E9E,ddm hopt + schuler Gmbh + Co. KG
1E+099,Vantanol Industrial Corporation
001F36,"Bellwin Information Co. Ltd.,"
001F35,AIR802 LLC
001F30,Travelping
001F23,Interacoustics
001F24,"DIGITVIEW TECHNOLOGY CO., LTD."
001F1D,Atlas Material Testing Technology LLC
1E+092,JEULIN S.A.
1E+089,CRFS Limited
1E+084,Pika Technologies Inc.
1E+083,LAN/MAN Standards Association (LMSC)
001E6C,Opaque Systems
001EE6,"Shenzhen Advanced Video Info-Tech Co., Ltd."
001EE0,Urmet Domus SpA
001EDB,"Giken Trastem Co., Ltd."
001ED6,Alentec & Orion AB
001ECF,PHILIPS ELECTRONICS UK LTD
001C96,Linkwise Technology Pte Ltd
001C91,Gefen Inc.
001C8A,Cirrascale Corporation
001C84,"STL Solution Co.,Ltd."
001C80,"New Business Division/Rhea-Information CO., LTD."
001C76,The Wandsworth Group Ltd
001C6F,Emfit Ltd
001C71,Emergent Electronics
001C70,NOVACOMM LTDA
001C6A,Weiss Engineering Ltd.
001D59,Mitra Energy & Infrastructure
001D52,Defzone B.V.
001D4C,Alcatel-Lucent
001D48,Sensor-Technik Wiedemann GmbH
001D41,Hardy Instruments
001D3C,Muscle Corporation
001D30,YX Wireless S.A.
001D35,Viconics Electronics Inc.
001D2F,QuantumVision Corporation
001CD3,ZP Engineering SEL
001CCE,By Techdesign
001CC7,"Rembrandt Technologies, LLC d/b/a REMSTREAM"
001CC2,"Part II Research, Inc."
001CBB,MusicianLink
001CB1,"Cisco Systems, Inc"
001CB7,USC DigiArk Corporation
001CA3,Terra
001CA5,Zygo Corporation
001CAA,Bellon Pty Ltd
001C9D,Liecthi AG
001DCA,PAV Electronics Limited
001DC4,"AIOI Systems Co., Ltd."
001DC3,"RIKOR TV, Ltd"
001DB1,Crescendo Networks
001DB2,"HOKKAIDO ELECTRIC ENGINEERING CO.,LTD."
001DB7,"Tendril Networks, Inc."
001DAD,"Sinotech Engineering Consultants, Inc.  Geotechnical Enginee"
001DA8,"Takahata Electronics Co.,Ltd"
001DA7,Seamless Internet
001DA1,"Cisco Systems, Inc"
001D9A,"GODEX INTERNATIONAL CO., LTD"
001D95,"Flash, Inc."
001D8E,"Alereon, Inc."
001D87,VigTech Labs Sdn Bhd
001D88,Clearwire
001D7E,"Cisco-Linksys, LLC"
001D7D,"GIGA-BYTE TECHNOLOGY CO.,LTD."
001D6C,"ClariPhy Communications, Inc."
001D71,"Cisco Systems, Inc"
001D78,"Invengo Information Technology Co.,Ltd"
001D65,Microwave Radio Communications
001D5E,COMING MEDIA CORP.
001D29,Doro AB
001D22,Foss Analytical A/S
001D1D,Inter-M Corporation
001D16,SFR
001D10,"LightHaus Logic, Inc."
001D0A,"Davis Instruments, Inc."
001D03,Design Solutions Inc.
001CFE,Quartics Inc
001CF7,AudioScience
001CE6,INNES
001CE1,"INDRA SISTEMAS, S.A."
001CDA,Exegin Technologies Limited
10000000,"Winy Technology Co., Ltd."
100,"Sougou Keikaku Kougyou Co.,Ltd."
10,"Renesas Technology Sales Co., Ltd."
001DFB,NETCLEUS Systems Corporation
001DF4,Magellan Technology Pty Limited
001DEF,"TRIMM, INC."
001DE8,Nikko Denki Tsushin Corporation(NDTC)
001DE3,Intuicom
001DDD,DAT H.K. LIMITED
001AF8,Copley Controls Corporation
001AF3,Samyoung Electronics
001AEE,Shenztech Ltd
001AE2,"Cisco Systems, Inc"
001AE7,"Aztek Networks, Inc."
001AD4,"iPOX Technology Co., Ltd."
001AD6,"JIAGNSU AETNA ELECTRIC CO.,LTD"
001B97,Violin Technologies
001B9C,SATEL sp. z o.o.
001B90,"Cisco Systems, Inc"
001B86,Bosch Access Systems GmbH
001B8B,"NEC Platforms, Ltd."
001B7F,TMN Technologies Telecomunicacoes Ltda
001B81,"DATAQ Instruments, Inc."
001B80,LORD Corporation
001B73,DTL Broadcast Ltd
001B6E,"Anue Systems, Inc."
001B67,Cisco Systems Inc
001B60,NAVIGON AG
001B54,"Cisco Systems, Inc"
001B48,"Shenzhen Lantech Electronics Co., Ltd."
001B4D,Areca Technology Corporation
001B41,"General Infinity Co.,Ltd."
001B3C,"Software Technologies Group,Inc."
001B35,"ChongQing JINOU Science & Technology Development CO.,Ltd"
001B2E,Sinkyo Electron Inc
001B30,Solitech Inc.
001BC7,StarVedia Technology Inc.
001BC6,Strato Rechenzentrum AG
001BBB,"RFTech Co.,Ltd"
001BB6,Bird Electronic Corp.
001BAA,XenICs nv
001BA3,Flexit Group GmbH
001C63,TRUEN
001C57,"Cisco Systems, Inc"
001C5E,ASTON France
001C46,QTUM
001C3A,"Element Labs, Inc."
001C41,scemtec Transponder Technology GmbH
001C34,"HUEY CHIAO INTERNATIONAL CO., LTD."
001C33,Sutron
001BF7,Lund IP Products AB
001BF9,Intellitect Water Ltd
001BF8,Digitrax Inc.
001BF2,"KWORLD COMPUTER CO., LTD"
001BEB,DMP Electronics INC.
001BE6,VR AG
001BDF,Iskra Sistemi d.d.
001BD8,DVTel LTD
001BCC,"KINGTEK CCTV ALLIANCE CO., LTD."
001AC8,ISL (Instrumentation Scientifique de Laboratoire)
001ACF,C.T. ELETTRONICA
001AC3,"Scientific-Atlanta, Inc"
001AB9,PMC
001ABE,COMPUTER HI-TECH INC.
001AAB,eWings s.r.l.
001AB2,Cyber Solutions Inc.
001AB7,Ethos Networks LTD.
001C2E,HPN Supply Chain
001C27,Sunell Electronics Co.
001C22,Aeris Elettronica s.r.l.
001C1D,"CHENZHOU GOSPELL DIGITAL TECHNOLOGY CO.,LTD"
001C18,Sicert S.r.L.
001C0A,"Shenzhen AEE Technology Co.,Ltd."
001C05,Nonin Medical Inc.
001BFE,Zavio Inc.
001B29,"Avantis.Co.,Ltd"
001B23,SimpleComTools
001B1E,HART Communication Foundation
001B12,Apprion
001B0B,Phidgets Inc.
001B10,"ShenZhen Kang Hui Technology Co.,ltd"
001B04,Affinity International S.p.a
001AFF,Wizyoung Tech.
001AFD,EVOLIS
00191C,Sensicast Systems
00191E,"Beyondwiz Co., Ltd."
1923,"Phonex Korea Co., LTD."
00192A,Antiope Associates
1910,Knick Elektronische Messgeraete GmbH & Co. KG
1917,Posiflex Inc.
1909,DEVI - Danfoss A/S
00190B,"Southern Vision Systems, Inc."
1904,WB Electronics Sp. z o.o.
0018FF,PowerQuattro Co.
0018FA,"Yushin Precision Equipment Co.,Ltd."
1955,"Cisco Systems, Inc"
00194E,Ultra Electronics - TCS (Tactical Communication Systems)
1950,Harman Multimedia
1949,"TENTEL  COMTECH CO., LTD."
1942,ON SOFTWARE INTERNATIONAL LIMITED
00193D,GMC Guardian Mobility Corp.
1936,STERLITE OPTICAL TECHNOLOGIES LIMITED
00193B,Wilibox Deliberant Group LLC
00192F,"Cisco Systems, Inc"
001A20,CMOTECH Co. Ltd.
001A22,eQ-3 Entwicklung GmbH
001A14,"Xin Hua Control Engineering Co.,Ltd."
001A0D,"HandHeld entertainment, Inc."
001A0F,"Sistemas Avanzados de Control, S.A."
001A08,Simoco Ltd.
001A01,Smiths Medical
0019FC,PT. Ufoakses Sukses Luarbiasa
0019EF,"SHENZHEN LINNKING ELECTRONICS CO.,LTD"
0019F1,"Star Communication Network Technology Co.,Ltd"
0019F6,Acconet (PTE) Ltd
001A76,"SDT information Technology Co.,LTD."
001A6F,MI.TEL s.r.l.
001A6A,"Tranzas, Inc."
001A63,"Elster Solutions, LLC,"
001A5E,"Thincom Technology Co.,Ltd"
001A57,"Matrix Design Group, LLC"
001A5C,Euchner GmbH+Co. KG
001A50,PheeNet Technology Corp.
001A9D,"Skipper Wireless, Inc."
001AA2,"Cisco Systems, Inc"
001A91,FusionDynamic Ltd.
001A96,ECLER S.A.
001A90,Trópico Sistemas e Telecomunicações da Amazônia LTDA. 
001A8C,Sophos Ltd
001A85,NV Michel Van de Wiele
001A87,Canhold International Limited
001A86,AdvancedIO Systems Inc
0019B5,Famar Fueguina S.A.
0019BA,Paradox Security Systems Ltd
0019A2,ORDYN TECHNOLOGIES
0019AE,Hopling Technologies b.v.
0019A7,ITU-T
1996,TurboChef Technologies Inc.
00199B,"Diversified Technical Systems, Inc."
1991,avinfo
00198A,Northrop Grumman Systems Corp.
00198C,iXSea
1985,"IT Watchdogs, Inc"
00196B,Danpex Corporation
1966,Asiarock Technology Limited
00195C,Innotech Corporation
1961,Blaupunkt  Embedded Systems GmbH
0019DE,MOBITEK
0019EA,"TeraMage Technologies Co., Ltd."
0019D0,Cathexis
0019D7,"FORTUNETEK CO., LTD"
0019B3,Stanford Research Systems
001A44,"JWTrading Co., Ltd"
001A49,"Micro Vision Co.,LTD"
001A3D,"Ajin Vision Co.,Ltd"
001A31,SCAN COIN Industries AB
001A38,Sanmina-SCI
001A2C,"SATEC Co.,LTD"
001A27,Ubistar
0017AE,GAI-Tronics
0017A2,Camrivox Ltd.
0017A7,Mobile Computing Promotion Consortium
00179D,Kelman Limited
1791,LinTech GmbH
1796,Rittmeyer AG
1798,"Azonic Technology Co., LTD"
00178A,DARTS TECHNOLOGIES CORP.
00177E,Meshcom Technologies Inc.
1785,Sparr Electronics Ltd
1809,CRESYN
00180E,Avega Systems
1810,IPTrade S.A.
0017F6,Pyramid Meriden Inc.
0017FB,FA
0017FD,Amulet Hotkey
0017EF,IBM Corp
0017D7,ION Geophysical Corporation Inc.
0017DC,DAEMYUNG ZERO1
0017DE,Advantage Six Ltd
0018C3,CS Corporation
0018CA,Viprinet GmbH
0018BE,ANSA Corporation
0018B2,ADEUNIS RF
0018B7,"D3 LED, LLC"
0018AB,BEIJING LHWT MICROELECTRONICS INC.
0018A6,"Persistent Systems, LLC"
1895,Hansun Technologies Inc.
00189A,HANA Micron Inc.
180000000,"Cameo Communications, INC."
0018EE,"Videology Imaging Solutions, Inc."
1800,Topdata Sistemas de Automacao Ltda
0018DB,EPL Technology Ltd
18,ANAVEO
0018CF,Baldor Electric Company
0018D4,Unified Display Interface SIG
00184A,"Catcher, Inc."
00184C,Bogen Communications
1845,Pulsar-Telecom LLC.
00183E,"Digilent, Inc"
1828,e2v technologies (UK) ltd.
00182D,Artec Design
1821,SINDORICOH
1815,"GZ Technologies, Inc."
00181C,Exterity Limited
1772,ASTRO Strobel Kommunikationssysteme GmbH
1777,Obsidian Research Corporation
00176E,DUCATI SISTEMI
1762,"Solar Technology, Inc."
1769,Cymphonix Corp
00175D,Dongseo system.
00175B,ACS Solutions Switzerland Ltd.
1756,Vinci Labs Oy
00174F,iCatch Inc.
0017CD,CEC Wireless R&D Ltd.
0017D2,THINLINX PTY LTD
0017C6,Cross Match Technologies Inc
0017BA,"SEDO CO., LTD."
0017BF,Coherent Research Limited
0017C1,CM Precision Technology LTD.
0017B3,Aftek Infosys Limited
00186A,"Global Link Digital Technology Co,.LTD"
00186F,Setha Industria Eletronica LTDA
1876,WowWee Ltd.
1869,KINGJIM
1864,Eaton Corporation
00185D,"TAIGUEN TECHNOLOGY (SHEN-ZHEN) CO., LTD."
1851,SWsoft
1858,TagMaster AB
00189F,Lenntek Corporation
00188E,"Ekahau, Inc."
1887,Metasystem SpA
1889,WinNet Solutions Limited
00187B,4NSYS Co. Ltd.
1661,Novatium Solutions (P) Ltd
1663,KBT Mobile
1668,Eishin Electronics
1662,Liyuh Technology Ltd.
00165C,Trackflow Ltd
1655,"FUHO TECHNOLOGY Co., LTD"
150000,Zimmer Elektromedizin
0015DA,IRITEL A.D.
0015DF,Clivet S.p.A.
0015D3,"Pantech&Curitel Communications, Inc."
0015C7,"Cisco Systems, Inc"
0015C0,"DIGITAL TELEMEDIA CO.,LTD."
0015BA,iba AG
00174A,SOCOMEC
1743,Deck Srl
00173D,Neology
00173E,LeucotronEquipamentos Ltda.
1738,International Business Machines
00172C,TAEJIN INFOTECH
1720,"Image Sensing Systems, Inc."
1725,Liquid Computing
1701,"KDE, Inc."
1703,"MOSDAN Internation Co.,Ltd"
0016FC,"TOHKEN CO.,LTD."
0016F0,Dell
0016F5,"Dalian Golden Hualu Digital Technology Co.,Ltd"
16000000000,Tiba Medical Inc
160000,VANGUARD SECURITY ENGINEERING CORP.
0016DD,Gigabeam Corporation
1600,"American Fibertek, Inc."
0016D8,Senea AB
00169C,"Cisco Systems, Inc"
00169E,TV One Ltd
0016A3,"Ingeteam Transmission&Distribution, S.A."
1690,J-TEK INCORPORATION
1697,NEC Corporation
1689,"Pilkor Electronics Co., Ltd"
00168B,Paralan Corporation
1684,"Donjin Co.,Ltd."
00167D,"Sky-Line Information Co., Ltd."
1678,"SHENZHEN BAOAN GAOKE ELECTRONICS CO., LTD"
1649,SetOne GmbH
00163F,CReTE SYSTEMS Inc.
1638,"TECOM Co., Ltd."
1633,Oxford Diagnostics Ltd.
00162C,Xanboo
1627,embedded-logic DESIGN AND MORE GmbH
1619,Lancelan Technologies S.L.
1614,Picosecond Pulse Labs
1719,"Audiocodes USA, Inc"
00171E,Theo Benning GmbH & Co. KG
1712,ISCO International
00170D,Dust Networks Inc.
00160F,BADGER METER INC
00160A,SWEEX Europe BV
1603,"COOLKSKY Co., LTD"
0015F7,Wintecronics Ltd.
0015F0,EGO BV
0015EA,Tellumat (Pty) Ltd
0016C5,"Shenzhen Xing Feng Industry Co.,Ltd"
0016C7,"Cisco Systems, Inc"
0016CC,Xcute Mobile Corp.
0016C0,Semtech Corporation
0016B4,Private
0016A8,"CWT CO., LTD."
0016AD,BT-Links Company Limited
1553,Cytyc Corporation
1555,DFM GmbH
00154E,IEC
1547,AiZen Solutions Inc.
1542,MICROHARD S.R.L.
00153B,EMH metering GmbH & Co. KG
1534,"A Beltrónica-Companhia de Comunicações, Lda"
1440,ATOMIC Corporation
1434,"Keri Systems, Inc"
00142D,Toradex AG
1426,NL Technology
1421,Total Wireless Technologies Pte. Ltd.
00141C,"Cisco Systems, Inc"
1583,IVT corporation
00157E,Weidmüller Interface GmbH & Co. KG
1579,Lunatone Industrielle Elektronik GmbH
1574,Horizon Semiconductors Ltd.
1566,"A-First Technology Co., Ltd."
1561,JJPlus Corporation
00155A,"DAINIPPON PHARMACEUTICAL CO., LTD."
1554,Atalum Wireless S.A.
1528,Beacon Medical Products LLC d.b.a. BeaconMedaes
1521,Horoquartz
1523,Meteor Communications Corporation
1522,Dea Security
00151C,LENECO
1512,Zurich University of Applied Sciences
00150B,SAGE INFOTECH LTD.
1506,Neo Photonics
0014FF,"Precise Automation, Inc."
0014F8,Scientific Atlanta
0014F3,ViXS Systems Inc
140000000,"Stolinx,. Inc"
0014EC,Acro Telecom
1400,datacom systems inc.
0014D6,"Jeongmin Electronics Co.,Ltd."
0014DB,Elma Trenew Electronic GmbH
0014DD,Covergence Inc.
0014DC,Communication System Design & Manufacturing (CSDM)
0014CF,INVISIO Communications
0014CA,Key Radio Systems Limited
0014C3,Seagate Technology
0014BC,SYNECTIC TELECOM EXPORTS PVT. LTD.
0014B7,AR Infotek Inc.
0014AD,Gassner Wiege- und Meßtechnik GmbH
0014B2,mCubelogics Corporation
0014A6,"Teranetics, Inc."
00149F,"System and Chips, Inc."
0014A1,Synchronous Communication Corp
1470,Prokom Software SA
1469,"Cisco Systems, Inc"
1462,"Digiwell Technology, inc"
00145D,"WJ Communications, Inc."
1450,Heim Systems GmbH
1456,Edge Products
00144C,General Meters Corp.
1445,Telefon-Gradnja d.o.o.
1447,BOAZ Inc.
1446,SuperVision Solutions LLC
0015B3,Caretech AB
0015A9,"KWANG WOO I&C CO.,LTD"
00159D,Tripp Lite 
1591,RLW Inc.
00158A,SURECOM Technology Corp.
00158F,NTT Advanced Technology Corporation
1590,Hectronic GmbH
0014A0,"Accsense, Inc."
1493,Systimax Solutions
00148E,Tele Power Inc.
1487,American Technology Integrators
1482,Aurora Networks
1481,Multilink Inc
00147C,3Com Ltd
1475,"Wiline Networks, Inc."
120000000,Projectek Networking Electronics Corp.
1200000000,Fraunhofer IMS
0012DB,ZIEHL industrie-elektronik GmbH + Co KG
1200,ALAXALA Networks Corporation
0012D6,"Jiangsu Yitong High-Tech Co.,Ltd"
0012D5,Motion Reality Inc.
0012C3,WIT S.A.
1300000,"TENOSYS, INC."
0013EA,Kamstrup A/S
0013DE,"Adapt4, LLC"
0013D7,SPIDCOM Technologies SA
0013D8,Princeton Instruments
0013CF,4Access Communications
0013D2,"PAGE IBERICA, S.A."
0013C9,Beyond Achieve Enterprises Ltd.
0013C2,"WACOM Co.,Ltd"
0013BD,HYMATOM SA
0013B8,RyCo Electronic Systems Limited
00134E,"Valox Systems, Inc."
1353,HYDAC Filtertechnik GMBH
00134D,Inepro BV
1347,"Red Lion Controls, LP"
00133B,Speed Dragon Multimedia Limited
1340,AD.EL s.r.l.
00132E,ITian Coporation
1328,"Westech Korea Inc.,"
00132D,iWise Communications
1334,"Arkados, Inc."
0013B3,"Ecom Communications Technology Co., Ltd."
0013AC,"Sunmyung Electronics Co., LTD"
0013A6,Extricom Ltd
0013A5,"General Solutions, LTD."
0013A0,"ALGOSYSTEM Co., Ltd."
1399,STAC Corporation.
1393,"Panta Systems, Inc."
1394,"Infohand Co.,Ltd"
00138D,Kinghold
0012C8,Perfect tech
0012B9,Fusion Digital Technology
0012BE,Astek Corporation
0012AC,ONTIMETEK INC.
0012AB,"WiLife, Inc."
0012B2,AVOLITES LTD.
0012A6,Dolby Australia
1378,"Qsan Technology, Inc."
00137D,"Dynalab, Inc."
1384,Advanced Motion Controls
00137E,"CorEdge Networks, Inc."
00136C,TomTom
00136B,E-TEC
1359,ProTelevision Technologies A/S
00135E,EAB/RWI/K
00129F,RAE Systems
1299,Ktech Telecommunications Inc
00129A,IRT Electronics Pty Ltd
00128C,Woodward Governor
1293,GE Energy
1287,Digital Everywhere Unterhaltungselektronik GmbH
1280,"Cisco Systems, Inc"
00131E,Peiker acustic GmbH & Co. KG
1323,"Cap Co., Ltd."
00130B,Mextal B.V.
1312,Amedia Networks Inc.
0012F8,"WNI Resources, LLC"
0012FF,Lely Industries N.V.
1304,Flaircomm Technologies Co. LTD
1410,"Suzhou Keda Technology CO.,Ltd"
1417,RSE Informations Technologie GmbH
1408,Eka Systems Inc.
1402,kk-electronic a/s
1401,Rivertree Networks Corp.
0013FB,RKC INSTRUMENT INC.
0013F4,Psitek (Pty) Ltd
0013EF,"Kingjon Digital Technology Co.,Ltd"
0011F7,"Shenzhen Forward Industry Co., Ltd"
0011F2,Institute of Network Technologies
0011EB,Innovative Integration
11000000,Scientific Atlanta
1100000,KCodes Corporation
0011DF,Current Energy
0011D3,NextGenTel Holding ASA
00110E,Tsurusaki Sealand Transportation Co. Ltd.
1115,"EPIN Technologies, Inc."
1114,EverFocus Electronics Corp.
1107,RGB Networks Inc.
1108,Orbital Data Corporation
1102,Aurora Multimedia Corp.
000FFC,Merit Li-Lin Ent.
000FDA,YAZAKI CORPORATION
000FF3,Jung Myoung Communications&Technology
0011A2,Manufacturing Technology Inc
00119B,Telesynergy Research Inc.
00118C,Missouri Department of Transportation
1191,CTS-Clima Temperatur Systeme GmbH
1196,"Actuality Systems, Inc."
1179,Singular Technology Co. Ltd.
1172,COTRON CORPORATION
1166,"Taelim Electronics Co., Ltd."
00116B,"Digital Data Communications Asia Co.,Ltd"
00116C,"Nanwang Multimedia Inc.,Ltd"
1162,"STAR MICRONICS CO.,LTD."
1161,"NetStreams, LLC"
1155,Sevis Systems
00115C,"Cisco Systems, Inc"
1147,Secom-Industry co.LTD.
00114C,caffeina applied research ltd.
1274,NIT lab
00127A,"Sanyu Industry Co.,Ltd."
00126D,"University of California, Berkeley"
1268,IPS d.o.o.
1267,Panasonic Corporation
1261,"Adaptix, Inc"
1257,LeapComm Communication Technologies Inc.
1222,Skardin (UK) Ltd
1227,"Franklin Electric Co., Inc."
00121B,"Sound Devices, LLC"
1221,B.Braun Melsungen AG
1214,Koenig & Bauer AG
00120F,IEEE 802.3
1208,Gantner Instruments GmbH
1201,"Cisco Systems, Inc"
1202,Decrane Aerospace - Audio International Inc.
0011C7,Raymarine UK Ltd
0011CC,"Guangzhou Jinpeng Group Co.,Ltd."
0011B5,"Shenzhen Powercom Co.,Ltd"
0011BA,Elexol Pty Ltd
0011C1,4P MOBILE DATA PROCESSING
0011A8,Quest Technologies
0011A7,Infilco Degremont Inc.
1250,"Tokyo Aircaft Instrument Co., Ltd."
00124B,Texas Instruments
1244,"Cisco Systems, Inc"
1238,"SetaBox Technology Co., Ltd."
00123D,"GES Co, Ltd"
00123E,"ERUNE technology Co., Ltd."
00122C,Soenen Controls N.V.
1231,"Motion Control Systems, Inc."
1146,Telecard-Pribor Ltd
1140,Nanometrics Inc.
1139,STOEBER ANTRIEBSTECHNIK GmbH + Co. KG.
00113A,SHINBORAM
1134,"MediaCell, Inc."
1127,"TASI, Inc"
00112A,Niko NV
1121,"Cisco Systems, Inc"
000EBB,Everbee Networks
000EB4,GUANGZHOU GAOKE COMMUNICATIONS TECHNOLOGY CO.LTD.
000EAE,GAWELL TECHNOLOGIES CORP.
000EA8,United Technologists Europe Limited
000EAD,"Metanoia Technologies, Inc."
000EA1,Formosa Teletek Corporation
000E9C,Benchmark Electronics 
000E9B,Ambit Microsystems Corporation
000E8E,"SparkLAN Communications, Inc."
0,"Fujiya Denki Seisakusho Co.,Ltd."
000FC1,WAVE Corporation
000FC8,Chantry Networks
000FC7,Dionica R&D Ltd.
000FBA,Tevebox AB
000FA7,Raptor Networks Technology
000FAE,E2O Communications
000FA8,"Photometrics, Inc."
000F9A,"Synchrony, Inc."
000FA2,2xWireless
0,CLEMATIC
0,Commtech Wireless
000E7C,Televes S.A.
0,GEMSOC INNOVISION INC.
000E6E,MAT S.A. (Mircrelec Advanced Technology)
0,CTS electronics
0,E-TOP Network Technology Inc.
0,Eltis Microelectronics Ltd.
000FE7,"Lutron Electronics Co., Inc."
000FEC,ARKUS Inc.
000FE0,"NComputing Co.,Ltd."
000FD4,Soundcraft
000FD9,FlexDSL Telecommunications AG
000EEA,"Shadong Luneng Jicheng Electronics,Co.,Ltd"
000EDD,SHURE INCORPORATED
000EE4,"BOE TECHNOLOGY GROUP CO.,LTD"
000ED8,Positron Access Solutions Corp
000ECD,SKOV A/S
000ECE,S.I.T.T.I. S.p.A.
000ED3,"Epicenter, Inc."
000EC7,Motorola Korea
000F93,Landis+Gyr Ltd.
000F94,Genexis BV
000F8E,"DONGYANG TELECOM CO.,LTD."
000F87,Maxcess International
000F82,"Mortara Instrument, Inc."
000F81,PAL Pacific Inc.
000F74,Qamcom Technology AB
000F7B,"Arce Sistemas, S.A."
000F68,"Vavic Network Technology, Inc."
000F6F,FTA Communication Technologies
000F62,Alcatel Bell Space N.V.
000F5C,Day One Digital Media Limited
000F55,Datawire Communication Networks Inc.
000F49,Northover Solutions Limited
000F50,StreamScale Limited
000F42,Xalyo Systems
000F1C,"DigitAll World Co., Ltd"
000F0A,Clear Edge Networks
000F09,Private
000F03,"COM&C CO., LTD"
000EF7,Vulcan Portals Inc
000EFC,JTAG Technologies B.V.
000EE9,"WayTech Development, Inc."
000EF0,Festo AG & Co. KG
000F35,"Cisco Systems, Inc"
000F2E,Megapower International Corp.
000F29,Augmentix Corporation
000F22,"Helius, Inc."
000F0F,"Real ID Technology Co., Ltd."
000F16,"JAY HOW TECHNOLOGY CO.,"
000F1B,Ego Systems Inc.
000D74,"Sand Network Systems, Inc."
000D7B,Consensys Computers Inc.
000D6E,K-Patents Oy
000D68,"Vinci Systems, Inc."
000D6D,K-Tech Devices Corp.
000D5B,Smart Empire Investments Limited
000D5C,"Robert Bosch GmbH, VT-ATMO"
000D61,"Giga-Byte Technology Co., Ltd."
000D55,"SANYCOM Technology Co.,Ltd"
000D49,"Triton Systems of Delaware, Inc."
000D4E,"NDR Co.,LTD."
000E5B,ParkerVision - Direct2Data
